logFC	AveExpr	t	P.Value	adj.P.Val	b	Probe.ID	gene_symbol
-0.302	5.256	-1.836	0.11	0.455	-5.378	10348789	Gm26446
0.059	6.353	0.502	0.632	0.875	-6.79	10348791	Ano7
-0.01	10.996	-0.135	0.896	0.972	-6.92	10348817	Sept2
0.047	8.968	0.677	0.52	0.82	-6.679	10348829	Farp2
0.085	8.555	0.728	0.491	0.803	-6.641	10348858	Bok
0.098	8.237	0.75	0.478	0.796	-6.624	10348866	Atg4b
-0.05	8.366	-0.491	0.639	0.877	-6.796	10348879	Ing5
0.035	8.613	0.451	0.666	0.888	-6.817	10348889	D2hgdh
-0.229	5.707	-1.314	0.231	0.608	-6.058	10348896	Gm9994
-0.295	5.903	-1.604	0.154	0.521	-5.693	10348902	Gm9994
0.243	7.048	1.714	0.131	0.488	-5.546	10348906	Gm6086
-0.101	6.21	-1.08	0.317	0.685	-6.32	10348910	Neu4
-0.057	8.118	-0.488	0.641	0.878	-6.797	10348917	Fam174a
0.176	13.657	2.289	0.057	0.346	-4.729	10348924	Rpl18a
-0.094	3.028	-0.964	0.368	0.725	-6.436	10348927	Gm26245
-0.083	11.213	-0.868	0.415	0.757	-6.525	10348929	Hnrnpf
-0.337	8.889	-2.703	0.031	0.267	-4.12	10348932	Gin1
0.003	2.927	0.038	0.97	0.991	-6.93	10348943	Gm24465
0.23	5.828	1.822	0.112	0.459	-5.397	10348945	Gm7952
-0.167	3.677	-1.923	0.097	0.433	-5.256	10348947	Slco6d1
-0.04	4.852	-0.371	0.722	0.91	-6.853	10348963	Cntnap5b
0.08	5.757	0.684	0.516	0.818	-6.674	10348999	Cdh20
-0.037	11.2	-0.447	0.669	0.89	-6.819	10349014	Capza1
-0.157	9.063	-1.5	0.178	0.551	-5.828	10349016	2310035C23Rik
0.28	12.375	1.792	0.117	0.464	-5.439	10349049	Zfp706
-0.035	7.25	-0.402	0.7	0.902	-6.84	10349051	Tnfrsf11a
0.003	10.207	0.032	0.975	0.992	-6.93	10349065	Zcchc2
0.079	8.775	1.101	0.308	0.678	-6.298	10349081	Phlpp1
-0.008	5.44	-0.058	0.955	0.988	-6.929	10349102	D630008O14Rik
-0.086	4.806	-0.854	0.422	0.762	-6.538	10349108	Serpinb5
-0.087	3.994	-0.902	0.398	0.746	-6.495	10349118	Serpinb12
0.238	4.842	1.434	0.195	0.568	-5.911	10349129	Serpinb13
0.119	4.082	0.941	0.379	0.731	-6.458	10349138	Serpinb11
-0.11	3.601	-1.008	0.348	0.709	-6.393	10349147	Serpinb7
-0.451	5.871	-4.658	0.002	0.075	-1.442	10349157	Serpinb2
0.185	6.336	1.271	0.245	0.622	-6.108	10349166	Serpinb10
0.064	7.354	0.843	0.428	0.765	-6.547	10349174	Serpinb8
-0.089	4.902	-1.245	0.254	0.63	-6.138	10349184	Cdh7
-0.171	5.14	-1.521	0.173	0.545	-5.801	10349208	Cntnap5a
-0.053	3.716	-0.691	0.512	0.815	-6.669	10349233	Gm19965
-0.042	3.449	-0.43	0.68	0.894	-6.827	10349237	Gm24030
-0.084	9.656	-0.988	0.357	0.716	-6.413	10349239	Nifk
-0.127	9.008	-1.631	0.148	0.513	-5.657	10349249	Clasp1
0.055	8.347	0.505	0.629	0.874	-6.788	10349295	Tfcp2l1
0.239	5.861	1.933	0.095	0.43	-5.241	10349314	Gm8321
0.103	8.457	1.252	0.252	0.627	-6.13	10349316	Tmem185b
0.122	6.652	1.017	0.344	0.706	-6.385	10349319	Sctr
-0.239	5.984	-2.395	0.049	0.323	-4.574	10349333	3110009E18Rik
-0.207	7.156	-1.545	0.167	0.537	-5.77	10349340	C1ql2
0.016	6.511	0.103	0.921	0.979	-6.925	10349345	En1
-0.224	7.746	-2.603	0.036	0.285	-4.267	10349348	Ccdc93
0.075	5.182	0.853	0.422	0.762	-6.538	10349376	Gm24547
0.004	6.343	0.05	0.962	0.989	-6.929	10349378	LOC102638986
-0.062	10.725	-0.47	0.653	0.883	-6.807	10349383	Slc35f5
0.038	8.288	0.481	0.646	0.88	-6.801	10349401	Gpr39
-0.285	8.807	-3.527	0.01	0.157	-2.933	10349404	Mgat5
-0.26	6.738	-2.101	0.075	0.392	-5.002	10349427	Gm23370
-0.262	6.283	-3.198	0.016	0.195	-3.399	10349429	Gm23734
0.164	9.198	1.422	0.199	0.573	-5.926	10349431	Acmsd
-0.096	9.442	-1.103	0.307	0.677	-6.296	10349442	Ccnt2
-0.195	8.413	-2.445	0.045	0.313	-4.499	10349453	Rab3gap1
0.218	12.842	2.812	0.027	0.248	-3.961	10349478	Rpl28
0.07	9.743	0.877	0.41	0.754	-6.517	10349480	R3hdm1
-0.25	5.899	-1.494	0.18	0.553	-5.835	10349510	Mir128-1
-0.169	11.045	-1.708	0.132	0.49	-5.553	10349512	Ubxn4
-0.007	5.285	-0.08	0.939	0.983	-6.927	10349527	Gm23902
0.027	6.161	0.173	0.868	0.965	-6.914	10349529	Thsd7b
-0.131	8.575	-1.827	0.111	0.457	-5.39	10349559	Yod1
-0.026	6.667	-0.34	0.744	0.92	-6.866	10349562	AA986860
-0.204	5.998	-1.652	0.143	0.506	-5.628	10349571	Fcamr
-0.053	12.834	-0.571	0.586	0.855	-6.75	10349580	Pigr
-0.208	6.996	-2.44	0.046	0.314	-4.508	10349593	Faim3
0.089	5.016	0.619	0.556	0.839	-6.719	10349603	Il10
0.015	9.179	0.229	0.826	0.952	-6.901	10349610	Eif2d
0.214	6.249	1.525	0.172	0.544	-5.796	10349637	Fam72a
0.081	6.023	0.654	0.535	0.829	-6.695	10349644	Avpr1b
1.223	8.337	14.762	0	0.001	5.751	10349648	Ctse
0.21	7.155	2.515	0.041	0.301	-4.396	10349661	5430435G22Rik
-0.028	5.768	-0.185	0.859	0.962	-6.911	10349671	Slc26a9
-0.004	11.489	-0.041	0.968	0.99	-6.93	10349694	Pm20d1
-0.232	8.438	-2.773	0.028	0.255	-4.018	10349711	Slc41a1
0.287	9.105	3.08	0.018	0.21	-3.57	10349724	Rab29
0.017	10.275	0.219	0.833	0.954	-6.903	10349733	Nucks1
0.022	9.654	0.206	0.843	0.957	-6.906	10349744	Slc45a3
-0.099	10.164	-1.251	0.252	0.628	-6.131	10349752	Elk4
-0.03	4.428	-0.233	0.823	0.95	-6.9	10349761	Lemd1
0.061	5.418	0.56	0.593	0.859	-6.757	10349769	Mir135b
0.011	6.182	0.097	0.926	0.98	-6.925	10349771	Gm7241
-0.045	6.984	-0.474	0.65	0.881	-6.805	10349773	Klhdc8a
0.128	8.455	0.87	0.414	0.757	-6.524	10349782	Nuak2
-0.077	7.727	-0.985	0.358	0.717	-6.416	10349793	Dstyk
0.089	8.759	1.055	0.327	0.693	-6.346	10349809	Rbbp5
-0.013	6.605	-0.124	0.905	0.974	-6.922	10349821	Tmem81
-0.234	6.198	-2.207	0.064	0.365	-4.848	10349826	Gm10538
-0.034	7.327	-0.345	0.74	0.918	-6.863	10349828	Lrrn2
-0.123	6.346	-0.772	0.466	0.789	-6.606	10349832	LOC102636216
-0.163	8.166	-2.33	0.053	0.337	-4.669	10349834	Pik3c2b
-0.097	9.191	-1.057	0.326	0.692	-6.344	10349868	Ppp1r15b
0.25	9.231	2.336	0.053	0.336	-4.66	10349876	Plekha6
0.107	8.701	1.334	0.225	0.601	-6.034	10349904	Golt1a
0.011	7.219	0.123	0.906	0.975	-6.922	10349913	Kiss1
0.148	6.233	1.762	0.122	0.472	-5.48	10349922	Ren1
0.077	12.084	0.738	0.485	0.8	-6.633	10349932	Etnk2
-0.193	3.309	-1.196	0.271	0.647	-6.194	10349943	Gm23939
-0.056	6.724	-0.452	0.665	0.888	-6.816	10349945	Gm10537
0.061	7.355	0.865	0.416	0.758	-6.528	10349947	Fmod
0.143	5.75	0.949	0.375	0.729	-6.45	10349953	Chit1
-3.125	9.25	-25.413	0	0	8.476	10349968	Chil1
-0.08	6.903	-0.733	0.488	0.802	-6.637	10349980	Mybph
-0.155	6.445	-1.641	0.146	0.51	-5.644	10349993	Myog
-0.038	5.173	-0.379	0.716	0.908	-6.85	10349997	4933406M09Rik
-0.022	7.737	-0.218	0.834	0.954	-6.904	10350003	Cyb5r1
0.015	11.047	0.191	0.854	0.961	-6.91	10350015	Adipor1
-0.175	7.44	-1.29	0.239	0.616	-6.086	10350024	Klhl12
0.015	9.338	0.237	0.819	0.949	-6.899	10350039	Rabif
0.364	12.191	5.253	0.001	0.053	-0.736	10350044	Rpl29
-0.337	8.737	-3.047	0.019	0.214	-3.618	10350046	Kdm5b
0.056	6.235	0.558	0.595	0.859	-6.758	10350077	Syt2
-0.031	5.93	-0.348	0.739	0.917	-6.863	10350090	Ube2t
-0.02	6.644	-0.224	0.829	0.953	-6.902	10350099	Gm10535
0.15	7.445	1.904	0.099	0.437	-5.282	10350102	Ptpn7
0.055	11.189	0.638	0.544	0.833	-6.706	10350113	Arl8a
-0.172	7.025	-1.33	0.226	0.603	-6.039	10350123	Lmod1
0.12	6.438	0.955	0.372	0.727	-6.445	10350128	Gm4793
0.146	10.368	1.68	0.138	0.497	-5.592	10350136	Csrp1
-0.011	8.416	-0.123	0.906	0.975	-6.922	10350146	Phlda3
-0.002	6.482	-0.026	0.98	0.994	-6.93	10350149	Tnni1
0.392	7.551	4.963	0.002	0.062	-1.074	10350159	Lad1
-0.155	7.412	-1.99	0.088	0.419	-5.16	10350173	Tnnt2
0.026	8.108	0.301	0.772	0.932	-6.879	10350188	Tmem9
0.073	6.93	0.776	0.464	0.787	-6.603	10350197	Ascl5
-0.404	6.383	-4.415	0.003	0.088	-1.746	10350199	Cacna1s
-0.075	7.226	-0.794	0.454	0.782	-6.588	10350247	Kif21b
0.129	7.869	1.465	0.187	0.561	-5.872	10350286	Ddx59
0.291	5.431	3.07	0.019	0.211	-3.584	10350297	Kif14
-0.179	4.065	-1.644	0.145	0.509	-5.639	10350329	Kif14
-0.01	10.645	-0.088	0.932	0.982	-6.926	10350331	Zfp281
0.018	10.06	0.25	0.81	0.946	-6.895	10350335	Hmbs
-0.228	5.08	-1.683	0.137	0.497	-5.588	10350337	A130050O07Rik
-0.176	4.098	-2.055	0.08	0.404	-5.068	10350339	Mir181a-1
-0.276	4.951	-2.749	0.029	0.26	-4.052	10350341	Mir181b-1
0.175	5.761	1.963	0.091	0.423	-5.199	10350343	Atp6v1g3
-0.048	9.153	-0.715	0.498	0.807	-6.651	10350349	Dennd1b
-0.084	8.603	-0.757	0.474	0.794	-6.618	10350377	Zbtb41
0.304	5.782	2.56	0.038	0.292	-4.331	10350392	Aspm
-0.005	11.455	-0.053	0.96	0.989	-6.929	10350425	F13b
-0.95	7.218	-7.728	0	0.014	1.689	10350438	Kcnt2
-0.025	5.832	-0.146	0.888	0.97	-6.918	10350473	B3galt2
-0.008	11.009	-0.103	0.921	0.979	-6.925	10350478	Glrx2
-0.067	8.414	-0.627	0.551	0.837	-6.714	10350489	Uchl5
0.147	5.963	1.429	0.197	0.571	-5.918	10350502	Gm5262
-0.194	6.436	-1.523	0.172	0.544	-5.798	10350504	Gm5263
-0.071	5.257	-0.824	0.438	0.772	-6.564	10350506	Brinp3
0.166	6.278	1.311	0.232	0.608	-6.061	10350516	Ptgs2
0.047	4.469	0.364	0.727	0.913	-6.856	10350530	Pdc
-0.079	9.913	-1.083	0.315	0.684	-6.316	10350535	Tpr
0	6.718	-0.005	0.996	0.998	-6.931	10350592	3110040M04Rik
-0.093	10.676	-1.194	0.272	0.648	-6.196	10350594	Ivns1abp
-0.054	8.972	-0.649	0.537	0.83	-6.698	10350614	Trmt1l
0.064	8.471	0.727	0.491	0.804	-6.641	10350630	Fam129a
-0.219	9.722	-3.364	0.012	0.175	-3.163	10350646	Edem3
0.172	6.018	1.977	0.089	0.422	-5.179	10350668	Colgalt2
-0.006	3.822	-0.06	0.954	0.987	-6.928	10350681	Apobec4
0.226	10.722	3.331	0.013	0.18	-3.209	10350684	Arpc5
0.378	7.204	2.535	0.04	0.297	-4.367	10350689	Ncf2
0.149	7.209	1.924	0.097	0.433	-5.254	10350697	Nmnat2
-0.128	4.486	-1.334	0.225	0.601	-6.034	10350710	Shcbp1l
-0.08	3.574	-0.924	0.387	0.738	-6.474	10350723	Shcbp1l
-0.028	6.523	-0.369	0.724	0.912	-6.854	10350725	Rgs8
0.036	9.162	0.498	0.634	0.876	-6.792	10350733	Rgs16
0.321	7.996	2.713	0.031	0.265	-4.105	10350742	Rnasel
0.023	7.242	0.178	0.864	0.964	-6.912	10350749	Gm5531
-0.091	5.796	-0.775	0.464	0.788	-6.604	10350751	Teddm1
0.053	12.734	0.696	0.51	0.813	-6.665	10350753	Glul
-0.213	6.206	-1.956	0.092	0.425	-5.209	10350760	Zfp648
0.146	8.333	1.547	0.167	0.537	-5.767	10350766	Stx6
-0.011	7.823	-0.103	0.921	0.979	-6.924	10350777	Acbd6
0.015	7.634	0.128	0.902	0.974	-6.921	10350790	Tor1aip2
0.062	9.988	0.589	0.575	0.848	-6.739	10350792	Tor1aip2
-0.111	10.618	-1.737	0.127	0.48	-5.514	10350800	Tor1aip2
0.125	5.426	1.104	0.307	0.677	-6.294	10350806	Nphs2
-0.046	12.064	-0.477	0.648	0.881	-6.804	10350816	Rpl35
0.022	11.399	0.233	0.823	0.95	-6.9	10350819	Csnk2a1
-0.038	7.3	-0.497	0.635	0.876	-6.793	10350823	Abl2
0.052	8.089	0.574	0.584	0.853	-6.748	10350838	2810417H13Rik
-0.186	5.609	-1.689	0.136	0.495	-5.58	10350840	Angptl1
-0.075	4.377	-0.528	0.614	0.868	-6.776	10350846	Gm10531
-0.055	7.595	-0.63	0.549	0.836	-6.712	10350848	2810025M15Rik
0.214	9.344	2.508	0.041	0.302	-4.407	10350853	BC026585
0.04	10.267	0.477	0.648	0.881	-6.803	10350864	Sec16b
-0.006	6.34	-0.055	0.958	0.988	-6.929	10350896	Astn1
0.056	3.6	0.802	0.449	0.779	-6.581	10350921	Mir488
-0.071	9.197	-0.915	0.391	0.741	-6.482	10350923	Rfwd2
0.063	5.664	0.339	0.744	0.92	-6.866	10350951	Tnr
-0.208	6.088	-1.524	0.172	0.544	-5.797	10350975	Gm10530
0.284	8.651	3.939	0.006	0.12	-2.368	10350977	4930523C07Rik
-0.022	8.46	-0.204	0.844	0.957	-6.907	10350985	Mrps14
-0.233	9.911	-3.244	0.015	0.189	-3.333	10350990	Rpl23a
-0.041	10.2	-0.539	0.607	0.864	-6.769	10350992	Rc3h1
0.011	8.707	0.092	0.929	0.981	-6.926	10351013	Rc3h1
-0.015	13.291	-0.213	0.838	0.956	-6.905	10351015	Serpinc1
-0.43	9.594	-4.106	0.005	0.108	-2.147	10351026	Gas5
-0.404	7.183	-1.742	0.126	0.478	-5.507	10351035	Gas5
-0.101	8.738	-0.777	0.463	0.787	-6.602	10351037	Gas5
-0.2	4.973	-0.675	0.522	0.821	-6.68	10351039	Gas5
0.14	7.641	0.607	0.563	0.843	-6.727	10351041	Gm24489
-0.187	9.41	-1.687	0.136	0.495	-5.582	10351043	Snord47
-0.371	5.603	-1.361	0.217	0.593	-6.002	10351045	Gm25789
0.035	6.807	0.216	0.835	0.955	-6.904	10351047	Cenpl
0.332	5.418	2.313	0.055	0.34	-4.694	10351056	Ankrd45
-0.171	4.54	-0.919	0.389	0.739	-6.478	10351095	Tnfsf4
0.268	5.036	2.997	0.021	0.222	-3.69	10351099	Tnfsf18
0.087	6.926	0.711	0.501	0.809	-6.654	10351107	Pigc
-0.178	5.965	-1.494	0.18	0.553	-5.835	10351111	Dnm3os
0.013	5.511	0.167	0.872	0.965	-6.915	10351117	Gm10176
-0.207	8.678	-2.572	0.038	0.29	-4.313	10351119	Vamp4
-0.054	5.134	-0.4	0.701	0.902	-6.841	10351131	Myoc
0.075	6.876	0.831	0.434	0.77	-6.557	10351140	Kifap3
0.028	9.586	0.402	0.7	0.902	-6.84	10351163	Scyl3
0.023	6.779	0.293	0.778	0.934	-6.882	10351179	Mettl18
0.172	6.371	1.824	0.112	0.458	-5.394	10351182	Sele
-0.021	8.511	-0.236	0.82	0.949	-6.899	10351197	Sell
0.007	7.952	0.085	0.934	0.982	-6.926	10351206	Selp
-0.093	11.777	-1.387	0.209	0.584	-5.97	10351224	F5
0.048	11.312	0.681	0.518	0.819	-6.676	10351259	Slc19a2
0.192	7.118	2.13	0.071	0.385	-4.96	10351269	Ccdc181
-0.12	8.07	-0.937	0.381	0.733	-6.462	10351277	Nme7
-0.08	7.991	-0.976	0.362	0.721	-6.425	10351293	Dpt
-0.135	6.257	-1.081	0.316	0.685	-6.319	10351298	Gpr161
-0.017	10.588	-0.152	0.884	0.968	-6.917	10351304	Mpc2
0.003	5.22	0.029	0.978	0.993	-6.93	10351310	Adcy10
0.253	13.026	3.887	0.006	0.123	-2.438	10351347	Creg1
-0.029	6.517	-0.331	0.75	0.922	-6.869	10351353	Cd247
-0.1	6.191	-1.386	0.209	0.584	-5.97	10351368	Gpa33
-0.386	9.793	-5.429	0.001	0.047	-0.537	10351380	Ildr2
-0.047	9.38	-0.695	0.51	0.813	-6.665	10351390	Tada1
0.274	6.2	2.702	0.031	0.267	-4.121	10351400	Fam78b
0.014	10.677	0.193	0.852	0.96	-6.909	10351404	Tmco1
-0.005	12.263	-0.071	0.945	0.985	-6.928	10351414	Aldh9a1
0.169	8.767	1.923	0.097	0.433	-5.255	10351430	Rxrg
-0.128	6.417	-1.28	0.242	0.619	-6.098	10351443	Lmx1a
0.075	9.212	0.826	0.437	0.771	-6.562	10351455	Rgs5
-0.011	7.618	-0.108	0.917	0.978	-6.924	10351463	Rgs5
0.063	5.915	0.67	0.525	0.823	-6.684	10351465	1700084C01Rik
0.062	6.488	0.629	0.55	0.836	-6.712	10351471	4930500M09Rik
0.251	4.735	2.283	0.057	0.347	-4.737	10351473	Sh2d1b2
1.386	6.279	8.818	0	0.009	2.542	10351477	Sh2d1b1
-0.195	5.912	-2.852	0.025	0.243	-3.902	10351482	1700015E13Rik
-0.106	5.924	-1.333	0.225	0.602	-6.034	10351487	Nos1ap
0.039	6.838	0.379	0.716	0.908	-6.85	10351491	Olfml2b
0.065	7.019	0.47	0.653	0.883	-6.807	10351500	Gm9929
-0.24	6.619	-1.912	0.098	0.436	-5.272	10351502	Gm26620
-0.231	10.389	-2.526	0.04	0.299	-4.38	10351504	LOC101056102
-0.04	5.65	-0.237	0.819	0.949	-6.899	10351507	LOC102638466
0.098	10.089	1.261	0.249	0.625	-6.12	10351509	Fcgr4
-0.195	8.544	-2.203	0.064	0.366	-4.854	10351515	Rnu1b1
-0.004	7.189	-0.035	0.973	0.992	-6.93	10351517	1700009P17Rik
-0.258	6.844	-3.106	0.018	0.207	-3.531	10351525	Mpz
0.227	10.615	2.007	0.086	0.415	-5.137	10351533	Nr1i3
0.099	14.457	1.55	0.166	0.536	-5.763	10351546	Apoa2
-0.007	7.037	-0.079	0.939	0.983	-6.927	10351551	Adamts4
-0.056	8.395	-0.664	0.528	0.825	-6.688	10351563	B4galt3
-0.03	10.076	-0.419	0.688	0.897	-6.832	10351574	Dedd
0.012	10.333	0.167	0.872	0.965	-6.915	10351583	Pfdn2
0.134	6.7	0.835	0.432	0.768	-6.554	10351588	Pvrl4
-0.017	7.849	-0.163	0.875	0.966	-6.915	10351603	Arhgap30
0.059	7.268	0.709	0.502	0.81	-6.655	10351616	Usf1
-0.033	10.655	-0.363	0.727	0.913	-6.856	10351623	F11r
0.064	7.799	0.706	0.504	0.811	-6.658	10351636	Alyref2
0.096	6.16	0.814	0.443	0.775	-6.572	10351640	Gm9765
0.016	6.533	0.206	0.843	0.957	-6.906	10351644	Cd244
0.143	8.043	1.605	0.154	0.521	-5.692	10351658	Cd48
-0.071	10.313	-0.782	0.46	0.786	-6.598	10351665	Tma7-ps
0.267	5.402	1.796	0.117	0.463	-5.434	10351667	Slamf1
0.215	8.593	2.665	0.033	0.274	-4.176	10351679	Cd84
-0.008	7.24	-0.1	0.923	0.979	-6.925	10351689	Gm10521
0.672	7.671	4.725	0.002	0.072	-1.36	10351691	Slamf6
-0.128	12.609	-1.714	0.131	0.488	-5.545	10351703	Copa
0.301	11.108	3.403	0.012	0.17	-3.107	10351738	Pex19
0.026	10.642	0.302	0.772	0.931	-6.879	10351749	Dcaf8
-0.035	7.703	-0.455	0.663	0.886	-6.815	10351769	Igsf8
0.528	7.421	5.202	0.001	0.056	-0.794	10351781	Kcnj10
-0.224	8.437	-2.48	0.043	0.307	-4.448	10351788	Pigm
0.327	7.713	3.934	0.006	0.12	-2.375	10351792	Slamf9
-0.01	6.84	-0.148	0.887	0.969	-6.918	10351801	Igsf9
0.176	9.447	1.799	0.116	0.463	-5.43	10351825	Tagln2
-0.157	5.941	-2.06	0.079	0.403	-5.062	10351832	Ccdc19
-0.141	6.658	-1.132	0.296	0.668	-6.264	10351843	Vsig8
-0.11	13.126	-1.642	0.146	0.51	-5.643	10351852	Crp
-1.05	6.026	-7.01	0	0.02	1.062	10351857	Olfr16
-0.08	4.988	-0.938	0.38	0.733	-6.461	10351859	Olfr1407-ps1
-0.298	4.17	-2.901	0.023	0.236	-3.83	10351861	Olfr218
0.116	4.843	1.285	0.241	0.617	-6.092	10351863	Olfr1404
-0.156	4.778	-1.438	0.195	0.568	-5.907	10351865	Olfr418-ps1
0.078	8.071	0.841	0.429	0.766	-6.548	10351867	Aim2
-0.001	8.163	-0.007	0.994	0.998	-6.93	10351873	Pyhin1
-0.275	5.6	-2.147	0.07	0.38	-4.935	10351880	Pydc3
0.019	5.966	0.186	0.858	0.962	-6.911	10351884	Olfr433
-0.116	4.73	-1.343	0.222	0.599	-6.023	10351886	Olfr432
-0.092	4.841	-0.763	0.471	0.791	-6.613	10351888	Olfr430
0.183	5.494	1.23	0.259	0.634	-6.156	10351891	Olfr429
-0.046	4.612	-0.494	0.637	0.877	-6.794	10351893	Olfr427
0.008	5.718	0.077	0.941	0.984	-6.927	10351895	Olfr424
-0.059	4.602	-0.564	0.591	0.857	-6.754	10351899	Olfr421-ps1
0.095	5.614	0.724	0.493	0.804	-6.644	10351903	Olfr420
0.181	5.555	1.676	0.139	0.498	-5.597	10351905	Spta1
-0.079	4.536	-0.589	0.575	0.848	-6.738	10351959	Mptx1
0.103	6.424	1.072	0.32	0.687	-6.328	10351961	Olfr417
-0.281	4.822	-1.874	0.104	0.445	-5.324	10351963	Olfr248
-0.061	6.063	-0.643	0.541	0.832	-6.702	10351966	Olfr414
-0.107	5.742	-1.067	0.322	0.689	-6.333	10351968	Olfr220
-0.002	5.394	-0.021	0.984	0.995	-6.93	10351971	Fmn2
0.062	12.406	0.839	0.43	0.767	-6.551	10352000	Kmo
-0.015	5.604	-0.16	0.878	0.967	-6.916	10352020	Wdr64
0.134	6.159	1.597	0.155	0.523	-5.702	10352048	Exo1
-0.234	4.323	-2.22	0.063	0.362	-4.83	10352064	Gm26104
-0.055	7.746	-0.593	0.572	0.847	-6.736	10352066	Sdccag8
-0.145	8.213	-0.956	0.371	0.727	-6.444	10352092	Zbtb18
-0.001	5.598	-0.01	0.992	0.998	-6.93	10352097	1700016C15Rik
-0.156	5.609	-1.313	0.231	0.608	-6.059	10352104	LOC102632386
-0.087	5.857	-0.963	0.368	0.725	-6.437	10352110	Gm16432
-0.038	9.469	-0.447	0.669	0.89	-6.819	10352119	Desi2
-0.096	6.448	-1.06	0.325	0.692	-6.34	10352125	Gm9982
0.215	10.58	1.616	0.151	0.518	-5.677	10352127	Cox20
0.086	3.738	0.706	0.503	0.811	-6.657	10352131	Gm24919
-0.119	7.092	-0.792	0.455	0.783	-6.59	10352133	Efcab2
-0.016	6.871	-0.164	0.875	0.966	-6.915	10352143	Kif26b
-0.12	6.983	-1.026	0.34	0.703	-6.375	10352150	Gm24405
0.084	6.812	0.597	0.57	0.845	-6.733	10352152	Kif26b
0.051	7.648	0.454	0.664	0.887	-6.815	10352166	Cnst
-0.399	6.32	-3.463	0.011	0.164	-3.023	10352178	Sccpdh
-0.041	6.535	-0.442	0.672	0.891	-6.821	10352192	Gm10518
0.036	9.171	0.385	0.712	0.906	-6.847	10352194	Cdc42bpa
0.061	8.738	0.843	0.428	0.765	-6.547	10352234	Itpkb
-0.087	8.654	-1.133	0.295	0.668	-6.264	10352242	Parp1
0.319	6.179	4.205	0.004	0.101	-2.016	10352267	Lin9
-0.068	9.118	-0.602	0.567	0.844	-6.73	10352281	Acbd3
-0.008	7.696	-0.064	0.951	0.986	-6.928	10352292	Gm16067
-0.117	8.291	-1.287	0.24	0.617	-6.089	10352294	Sde2
0.093	4.816	0.605	0.565	0.844	-6.728	10352302	Lefty2
-0.016	7.552	-0.167	0.872	0.965	-6.915	10352306	Pycr2
0.061	6.161	0.663	0.529	0.825	-6.689	10352314	Lefty1
0.234	9.434	2.98	0.021	0.224	-3.715	10352320	Tmem63a
0.818	8.497	6.987	0	0.02	1.041	10352344	9130409I23Rik
0.157	9.824	2.151	0.069	0.379	-4.929	10352348	Cnih4
-0.361	7.678	-4.923	0.002	0.063	-1.121	10352354	A430110L20Rik
0.093	7.917	1.344	0.222	0.598	-6.022	10352356	Haus5
-0.063	6.51	-0.45	0.667	0.889	-6.817	10352358	Cnih3
-0.065	4.377	-0.7	0.507	0.812	-6.662	10352369	Dnah14
0.068	3.804	0.654	0.535	0.829	-6.695	10352377	Dnah14
-0.148	9.002	-1.044	0.332	0.697	-6.356	10352393	Srp9
-0.037	8.902	-0.432	0.679	0.894	-6.826	10352396	Trp53bp2
0.233	7.419	1.715	0.131	0.488	-5.543	10352416	Capn8
0.267	10.834	3.899	0.006	0.123	-2.421	10352439	Susd4
0.373	8.483	4.138	0.005	0.106	-2.105	10352448	Dusp10
0.102	12.678	1.518	0.174	0.546	-5.805	10352457	Rpl21
-0.112	8.787	-1.668	0.14	0.5	-5.607	10352459	Rab3gap2
-0.052	3.617	-0.698	0.508	0.813	-6.663	10352497	Snora36b
-0.254	7.453	-1.462	0.188	0.562	-5.876	10352499	Mir194-1
0.079	4.585	0.637	0.545	0.833	-6.707	10352501	Mir215
-0.037	11.229	-0.498	0.634	0.876	-6.792	10352503	Bpnt1
-0.079	10.259	-1.036	0.335	0.7	-6.364	10352514	Eprs
-0.105	9.128	-1.165	0.283	0.657	-6.228	10352548	Slc30a10
-0.078	7.08	-0.781	0.461	0.786	-6.599	10352554	Gm26169
0.198	11.55	2.554	0.039	0.293	-4.34	10352556	Gm3809
-0.147	5.486	-1.361	0.216	0.592	-6.001	10352558	D1Pas1
-0.128	8.167	-1.428	0.197	0.571	-5.919	10352562	Gpatch2
0.18	7.346	2.5	0.042	0.304	-4.42	10352576	Esrrg
0.023	5.941	0.265	0.799	0.941	-6.891	10352586	Ush2a
0.028	7.847	0.308	0.768	0.929	-6.877	10352661	Ptpn14
0.052	9.041	0.562	0.592	0.858	-6.755	10352690	Angel2
-0.038	6.906	-0.416	0.69	0.898	-6.834	10352703	A230020J21Rik
-0.06	5.085	-0.722	0.494	0.805	-6.645	10352705	Spata45
0.167	6.239	1.422	0.199	0.573	-5.926	10352709	Nsl1
0.018	6.775	0.154	0.882	0.968	-6.917	10352717	Batf3
0.164	7.043	2.006	0.086	0.415	-5.138	10352722	D730003I15Rik
0.181	7.75	1.735	0.127	0.481	-5.517	10352725	Tmem206
-0.072	9.142	-0.787	0.458	0.784	-6.594	10352735	Ints7
-0.392	11.511	-5.574	0.001	0.044	-0.377	10352756	Lpgat1
-0.012	7.002	-0.156	0.881	0.967	-6.917	10352767	Nek2
-0.306	8.846	-3.514	0.01	0.158	-2.951	10352777	Slc30a1
0.02	6.595	0.174	0.867	0.964	-6.913	10352781	Rd3
0.156	7.301	1.605	0.154	0.521	-5.692	10352794	Gm10516
-0.191	6.454	-1.842	0.109	0.453	-5.369	10352798	Kcnh1
